snapshot_ts,ticket_id,subject,description,created_at,updated_at,status_id,status_name,priority,requester_id,requester_name,assignee_id,assignee_name,tags,raw_json_path
2026-06-01T09:20:05.968109+00:00,295904,Avisering: Kolla info inkorgen - tors den 1 jan. 2026 15:00 - 16:00 (CET) (intersolia.se@gmail.com),,2026-01-01T13:30:18Z,2026-01-31T13:14:59Z,5,,1,14007882060,,,,Reseller support;Older than 7 days;Older than 10 days;Older than 14 days;Older than 21 days;Older than 30 days,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260601T092005Z_from_20250531_to_20260101.json
2026-06-01T09:20:05.968109+00:00,295903,Avisering: Kolla info inkorgen - tors den 1 jan. 2026 08:15 - 09:15 (CET) (intersolia.se@gmail.com),,2026-01-01T06:45:02Z,2026-01-22T06:15:11Z,5,,1,14007882060,,,,Reseller support;Older than 7 days;Older than 10 days;Older than 14 days;Older than 21 days,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260601T092005Z_from_20250531_to_20260101.json
2026-06-01T09:20:05.968109+00:00,295902,Avisering: Ahlsell OY+Ahlsell Sverige - Replace duplicates KB 140000... - tors den 1 jan. 2026 08:00 - 09:00 (CET) (intersolia.se@gmail.com),,2026-01-01T06:30:19Z,2026-01-31T06:14:58Z,5,,1,14007882060,,14046386009.0,,Reseller support;Older than 7 days;Older than 10 days;Older than 14 days;Older than 21 days;Older than 30 days,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260601T092005Z_from_20250531_to_20260101.json
2026-06-01T09:20:05.968109+00:00,295900,Produkt förfrågad,,2025-12-31T16:02:42Z,2026-01-30T16:15:28Z,5,,1,14039562679,,,,sds;Jelena Trajcic;Older than 7 days;Older than 10 days;Older than 14 days;Older than 21 days;Older than 30 days,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260601T092005Z_from_20250531_to_20260101.json
2026-06-01T09:20:05.968109+00:00,295899,Produkt förfrågad,,2025-12-31T16:01:07Z,2026-01-30T16:15:28Z,5,,1,14039562679,,,,sds;Jelena Trajcic;Older than 7 days;Older than 10 days;Older than 14 days;Older than 21 days;Older than 30 days,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260601T092005Z_from_20250531_to_20260101.json
2026-06-01T09:20:05.968109+00:00,295898,"Ahlsell, Säkerhetsdatablad tillhörande din order 63205582",,2025-12-31T15:07:12Z,2026-01-30T15:16:13Z,5,,1,14045873245,,,,SDSse;Isidora Kovijanic;Older than 7 days;Older than 10 days;Older than 14 days;Older than 21 days;Older than 30 days,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260601T092005Z_from_20250531_to_20260101.json
2026-06-01T09:20:05.968109+00:00,295897,Avisering: Kolla info inkorgen - ons den 31 dec. 2025 15:00 - 16:00 (CET) (intersolia.se@gmail.com),,2025-12-31T13:30:17Z,2026-01-30T13:15:43Z,5,,1,14007882060,,,,Reseller support;Older than 7 days;Older than 10 days;Older than 14 days;Older than 21 days;Older than 30 days,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260601T092005Z_from_20250531_to_20260101.json
2026-06-01T09:20:05.968109+00:00,295896,"Ahlsell, Säkerhetsdatablad tillhörande din order 63848057",,2025-12-31T13:01:24Z,2026-01-30T13:15:43Z,5,,1,14045873245,,,,SDSse;Isidora Kovijanic;Older than 7 days;Older than 10 days;Older than 14 days;Older than 21 days;Older than 30 days,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260601T092005Z_from_20250531_to_20260101.json
2026-06-01T09:20:05.968109+00:00,295894,Publishing markets,,2025-12-31T11:08:08Z,2026-01-30T11:15:38Z,5,,2,14071992403,,14004930551.0,,Older than 7 days;Older than 10 days;Older than 14 days;Older than 21 days;Older than 30 days,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260601T092005Z_from_20250531_to_20260101.json
2026-06-01T09:20:05.968109+00:00,295893,"Ahlsell, Säkerhetsdatablad tillhörande din order 56809180",,2025-12-31T10:01:03Z,2026-01-30T10:15:35Z,5,,1,14045873245,,,,SDSse;Isidora Kovijanic;Older than 7 days;Older than 10 days;Older than 14 days;Older than 21 days;Older than 30 days,C:\Users\michael.brostrom\Documents\GitHub\statistik-freshdesk-linear\raw\freshdesk\freshdesk_raw_20260601T092005Z_from_20250531_to_20260101.json
